metric,value
total_records,100
valid_records,96
invalid_records,4
invalid_missing_client_company,1
invalid_invalid_or_missing_category,1
invalid_invalid_or_missing_email,1
invalid_closed_ticket_no_score,1
category_TECHNICAL,28
category_BILLING,18
category_ACCESS,21
category_HR_QUERY,17
category_COMPLAINT,12
status_OPEN,27
status_CLOSED,56
status_DISCARDED,13
scored_closed_tickets,56
total_closed_tickets,56
average_satisfaction_score,3.84
score_1_count,2
score_2_count,5
score_3_count,10
score_4_count,22
score_5_count,17
